author_id,paper_id,year
0,0,2018
1,1,2017
2,1,2017
3,2,2016
4,2,2016
5,2,2016
6,3,2016
7,3,2016
8,3,2016
9,3,2016
10,3,2016
11,4,2017
12,4,2017
13,4,2017
14,4,2017
15,4,2017
16,4,2017
17,4,2017
18,5,2019
19,5,2019
20,5,2019
21,5,2019
22,6,2018
23,6,2018
24,6,2018
25,7,2017
26,7,2017
27,7,2017
28,8,2019
29,8,2019
30,8,2019
31,8,2019
32,8,2019
33,8,2019
34,8,2019
35,8,2019
36,8,2019
37,9,2019
38,9,2019
39,10,2018
40,10,2018
41,10,2018
42,10,2018
43,10,2018
44,11,2017
45,11,2017
46,11,2017
47,12,2019
48,12,2019
49,12,2019
50,13,2018
51,13,2018
52,13,2018
53,13,2018
54,14,2017
55,14,2017
56,14,2017
57,14,2017
58,14,2017
59,15,2016
60,15,2016
61,16,2018
62,16,2018
63,16,2018
64,16,2018
65,17,2019
66,17,2019
67,17,2019
68,18,2019
69,18,2019
70,18,2019
71,18,2019
72,18,2019
25,18,2019
73,19,2018
74,19,2018
75,20,2018
76,20,2018
77,20,2018
78,20,2018
79,21,2016
80,21,2016
81,22,2019
82,22,2019
83,22,2019
84,22,2019
85,22,2019
86,22,2019
87,23,2019
88,23,2019
89,23,2019
90,23,2019
91,23,2019
92,24,2019
93,25,2018
94,25,2018
95,25,2018
96,25,2018
97,25,2018
98,25,2018
99,26,2018
100,26,2018
101,26,2018
102,27,2017
103,27,2017
104,27,2017
105,28,2018
106,28,2018
107,28,2018
108,28,2018
109,28,2018
110,28,2018
111,29,2019
112,29,2019
113,29,2019
114,29,2019
115,29,2019
116,30,2018
117,30,2018
118,31,2017
119,31,2017
120,32,2016
121,32,2016
122,33,2018
123,33,2018
124,33,2018
125,33,2018
126,34,2017
127,34,2017
128,34,2017
129,35,2019
130,35,2019
131,36,2017
132,36,2017
133,37,2018
134,37,2018
135,37,2018
136,37,2018
137,38,2017
138,38,2017
139,39,2019
140,39,2019
141,40,2019
142,40,2019
143,40,2019
144,40,2019
145,40,2019
146,40,2019
25,40,2019
147,40,2019
148,40,2019
149,41,2018
150,41,2018
151,42,2019
152,42,2019
153,42,2019
154,43,2017
155,44,2016
156,44,2016
157,44,2016
158,44,2016
159,45,2019
160,45,2019
161,45,2019
162,45,2019
163,45,2019
164,46,2018
165,46,2018
166,47,2017
167,47,2017
168,48,2019
169,48,2019
170,49,2017
171,49,2017
172,49,2017
173,49,2017
174,50,2019
175,50,2019
176,50,2019
177,50,2019
178,51,2019
179,51,2019
180,51,2019
181,52,2017
182,52,2017
183,52,2017
184,52,2017
185,53,2018
186,54,2019
187,54,2019
188,54,2019
189,55,2019
190,55,2019
191,55,2019
192,55,2019
193,55,2019
194,56,2018
195,56,2018
196,56,2018
197,56,2018
198,56,2018
199,57,2018
200,57,2018
201,57,2018
202,58,2018
203,58,2018
204,58,2018
205,59,2017
206,59,2017
207,59,2017
208,59,2017
209,59,2017
210,60,2017
211,60,2017
212,60,2017
213,60,2017
214,61,2016
215,61,2016
216,61,2016
217,61,2016
218,62,2019
219,62,2019
220,62,2019
221,62,2019
222,62,2019
223,63,2016
224,63,2016
225,63,2016
226,64,2018
227,64,2018
228,64,2018
229,65,2017
230,65,2017
231,65,2017
232,65,2017
233,65,2017
234,65,2017
235,66,2018
236,66,2018
237,66,2018
238,66,2018
103,66,2018
239,66,2018
240,67,2017
241,67,2017
242,67,2017
243,67,2017
244,67,2017
245,68,2017
246,68,2017
247,68,2017
248,68,2017
249,69,2019
250,69,2019
251,69,2019
252,69,2019
253,70,2017
254,71,2018
255,71,2018
256,72,2019
257,72,2019
258,72,2019
259,73,2018
260,73,2018
261,73,2018
262,73,2018
263,73,2018
264,73,2018
265,74,2017
266,74,2017
267,74,2017
268,75,2017
269,75,2017
270,76,2016
271,76,2016
272,76,2016
273,76,2016
274,77,2018
275,77,2018
98,77,2018
276,78,2016
277,78,2016
278,78,2016
279,78,2016
280,78,2016
281,79,2016
282,79,2016
283,80,2018
284,80,2018
285,80,2018
286,81,2019
287,81,2019
288,82,2016
289,82,2016
290,82,2016
291,83,2018
292,83,2018
293,83,2018
294,84,2017
295,84,2017
296,84,2017
297,84,2017
298,84,2017
299,85,2017
300,85,2017
301,86,2018
302,86,2018
303,86,2018
304,87,2018
305,87,2018
306,87,2018
307,87,2018
308,87,2018
309,87,2018
310,88,2017
311,88,2017
312,88,2017
313,88,2017
314,89,2019
315,89,2019
316,89,2019
317,89,2019
318,89,2019
319,89,2019
320,89,2019
321,90,2017
322,90,2017
323,90,2017
324,90,2017
325,91,2016
326,91,2016
327,91,2016
328,91,2016
329,92,2017
224,92,2017
330,93,2017
331,93,2017
332,93,2017
333,94,2019
334,94,2019
334,94,2019
335,95,2018
336,95,2018
337,95,2018
338,95,2018
339,95,2018
340,96,2019
341,97,2019
342,97,2019
343,97,2019
344,97,2019
345,98,2019
346,98,2019
347,98,2019
348,98,2019
349,98,2019
350,98,2019
351,99,2019
352,99,2019
353,99,2019
354,100,2019
355,100,2019
356,100,2019
357,100,2019
358,101,2017
75,101,2017
359,101,2017
78,101,2017
360,102,2019
361,102,2019
362,103,2019
363,103,2019
78,103,2019
364,104,2019
365,104,2019
366,105,2019
367,105,2019
368,105,2019
369,105,2019
370,105,2019
371,105,2019
372,105,2019
373,105,2019
374,105,2019
375,105,2019
376,106,2019
377,106,2019
378,106,2019
379,106,2019
380,106,2019
381,106,2019
382,106,2019
383,106,2019
384,106,2019
385,106,2019
386,107,2018
387,107,2018
388,108,2018
389,108,2018
390,108,2018
391,109,2017
392,109,2017
393,110,2017
394,110,2017
395,111,2016
396,112,2018
397,112,2018
361,112,2018
398,112,2018
399,112,2018
400,113,2019
401,113,2019
402,113,2019
403,113,2019
404,113,2019
405,114,2019
406,114,2019
407,114,2019
408,114,2019
409,114,2019
410,114,2019
411,115,2018
412,115,2018
413,115,2018
414,115,2018
415,116,2019
416,116,2019
417,116,2019
138,116,2019
418,117,2019
419,117,2019
420,117,2019
421,117,2019
422,118,2016
423,118,2016
424,118,2016
425,118,2016
426,119,2019
427,119,2019
428,119,2019
429,119,2019
430,120,2017
431,120,2017
103,120,2017
432,120,2017
433,120,2017
434,120,2017
435,121,2018
436,121,2018
437,121,2018
438,121,2018
439,122,2016
440,122,2016
441,122,2016
442,122,2016
14,122,2016
12,122,2016
17,122,2016
443,123,2018
444,123,2018
445,123,2018
446,123,2018
447,123,2018
448,123,2018
449,123,2018
450,123,2018
451,123,2018
452,123,2018
453,123,2018
454,123,2018
455,124,2017
456,124,2017
457,124,2017
458,125,2018
459,126,2019
460,127,2019
461,127,2019
462,127,2019
463,127,2019
464,128,2016
465,128,2016
466,128,2016
467,128,2016
468,128,2016
469,128,2016
470,129,2019
471,129,2019
472,129,2019
473,129,2019
474,129,2019
475,129,2019
476,129,2019
477,130,2016
478,130,2016
479,130,2016
480,130,2016
481,130,2016
482,130,2016
483,131,2017
484,131,2017
485,131,2017
486,131,2017
487,131,2017
488,131,2017
489,131,2017
490,132,2018
491,132,2018
492,132,2018
493,132,2018
494,133,2016
495,133,2016
496,133,2016
497,133,2016
498,133,2016
499,134,2017
500,134,2017
501,135,2016
502,135,2016
503,135,2016
504,135,2016
505,136,2019
506,136,2019
507,137,2019
508,137,2019
509,137,2019
510,137,2019
511,137,2019
512,138,2018
513,138,2018
514,138,2018
515,139,2019
516,139,2019
517,139,2019
518,139,2019
519,139,2019
520,140,2018
521,141,2018
522,141,2018
523,141,2018
524,141,2018
